Classificacao;01/03/2020;01/04/2020;01/05/2020;01/06/2020;01/07/2020;01/08/2020;01/09/2020;01/10/2020;01/11/2020;01/12/2020;01/01/2021;01/02/2021;01/03/2021
DRS I - Grande Sao Paulo;45;55;50;46;43;42;41;40;40;40;41;40;43
DRS II - Aracatuba;43;49;46;44;43;42;41;41;41;42;43;42;44
DRS III - Araraquara;47;52;49;47;46;47;45;45;44;44;46;47;46
DRS IV - Baixada Santista;46;55;52;49;47;45;44;44;44;44;45;43;46
DRS V - Barretos;46;53;48;44;44;44;43;43;43;43;45;44;47
DRS VI - Bauru;42;50;46;43;41;40;40;39;39;39;41;41;42
DRS VII - Campinas;44;51;48;45;43;41;40;39;39;40;41;39;42
DRS VIII - Franca;46;49;50;49;49;51;49;48;48;48;50;49;51
DRS IX - Marilia;42;50;46;42;41;40;39;39;38;39;41;40;41
DRS X - Piracicaba;45;51;47;45;43;42;40;39;40;40;41;40;42
DRS XI - Presidente Prudente;41;45;42;39;37;36;35;35;34;35;37;36;38
DRS XII - Registro;42;47;45;43;41;42;40;39;39;41;43;42;43
DRS XIII - Ribeirao Preto;44;51;49;47;46;46;46;46;46;46;48;46;48
DRS XIV - Sao Joao da Boa Vista;48;54;51;48;48;48;47;47;46;47;48;47;49
DRS XV - Sao Jose do Rio Preto;43;49;45;44;42;42;41;41;40;41;41;40;44
DRS XVI - Sorocaba;45;54;50;46;44;42;41;41;41;41;43;42;43
DRS XVII - Taubate;49;59;54;50;48;45;43;42;42;42;43;43;44
Estado de SP;49;52;50;47;45;44;42;42;42;42;43;41;44
